YYYYMMDD,UG

20150101,79
20150102,72
20150103,87
20150104,81
20150105,89
20150106,86
20150107,86
20150108,91
20150109,83
20150110,73
20150111,70
20150112,84
20150113,87
20150114,80
20150115,82
20150116,79
20150117,79
20150118,91
20150119,96
20150120,91
20150121,81
20150122,83
20150123,92
20150124,86
20150125,90
20150126,88
20150127,84
20150128,82
20150129,86
20150130,90
20150131,92
20150201,90
20150202,88
20150203,85
20150204,88
20150205,83
20150206,74
20150207,90
20150208,74
20150209,89
20150210,87
20150211,82
20150212,88
20150213,79
20150214,77
20150215,82
20150216,90
20150217,91
20150218,86
20150219,81
20150220,93
20150221,89
20150222,82
20150223,78
20150224,80
20150225,88
20150226,95
20150227,77
20150228,72
20150301,74
20150302,69
20150303,80
20150304,77
20150305,79
20150306,77
20150307,64
20150308,69
20150309,85
20150310,79
20150311,82
20150312,71
20150313,70
20150314,82
20150315,80
20150316,78
20150317,73
20150318,92
20150319,85
20150320,84
20150321,83
20150322,73
20150323,81
20150324,80
20150325,88
20150326,85
20150327,81
20150328,89
20150329,84
20150330,66
20150331,66
20150401,70
20150402,70
20150403,67
20150404,71
20150405,71
20150406,83
20150407,82
20150408,85
20150409,76
20150410,73
20150411,78
20150412,66
20150413,69
20150414,70
20150415,68
20150416,63
20150417,66
20150418,64
20150419,72
20150420,67
20150421,72
20150422,78
20150423,74
20150424,67
20150425,83
20150426,87
20150427,64
20150428,66
20150429,66
20150430,69
20150501,65
20150502,60
20150503,77
20150504,72
20150505,72
20150506,67
20150507,74
20150508,67
20150509,75
20150510,72
20150511,64
20150512,67
20150513,67
20150514,65
20150515,70
20150516,78
20150517,61
20150518,77
20150519,76
20150520,72
20150521,71
20150522,67
20150523,76
20150524,68
20150525,72
20150526,66
20150527,66
20150528,70
20150529,75
20150530,66
20150531,84
20150601,63
20150602,76
20150603,71
20150604,63
20150605,68
20150606,59
20150607,64
20150608,67
20150609,69
20150610,64
20150611,54
20150612,56
20150613,75
20150614,82
20150615,62
20150616,72
20150617,73
20150618,75
20150619,83
20150620,77
20150621,85
20150622,84
20150623,83
20150624,70
20150625,68
20150626,63
20150627,74
20150628,74
20150629,72
20150630,61
20150701,49
20150702,66
20150703,76
20150704,66
20150705,75
20150706,71
20150707,68
20150708,81
20150709,71
20150710,65
20150711,60
20150712,80
20150713,92
20150714,88
20150715,91
20150716,70
20150717,73
20150718,72
20150719,82
20150720,86
20150721,66
20150722,67
20150723,66
20150724,74
20150725,86
20150726,80
20150727,85
20150728,84
20150729,77
20150730,75
20150731,69
20150801,69
20150802,65
20150803,67
20150804,77
20150805,63
20150806,73
20150807,76
20150808,71
20150809,77
20150810,79
20150811,81
20150812,79
20150813,77
20150814,86
20150815,88
20150816,88
20150817,96
20150818,89
20150819,78
20150820,76
20150821,80
20150822,63
20150823,65
20150824,85
20150825,81
20150826,80
20150827,89
20150828,82
20150829,73
20150830,87
20150831,88
20150901,78
20150902,81
20150903,82
20150904,91
20150905,82
20150906,78
20150907,88
20150908,84
20150909,81
20150910,73
20150911,76
20150912,85
20150913,80
20150914,87
20150915,79
20150916,89
20150917,90
20150918,85
20150919,88
20150920,83
20150921,81
20150922,89
20150923,90
20150924,92
20150925,89
20150926,85
20150927,86
20150928,86
20150929,77
20150930,73
20151001,80
20151002,79
20151003,88
20151004,89
20151005,88
20151006,95
20151007,93
20151008,85
20151009,91
20151010,82
20151011,72
20151012,79
20151013,84
20151014,95
20151015,97
20151016,96
20151017,97
20151018,95
20151019,95
20151020,94
20151021,94
20151022,90
20151023,80
20151024,82
20151025,85
20151026,88
20151027,88
20151028,91
20151029,91
20151030,89
20151031,87
20151101,93
20151102,91
20151103,83
20151104,84
20151105,94
20151106,93
20151107,89
20151108,91
20151109,83
20151110,91
20151111,86
20151112,84
20151113,74
20151114,79
20151115,85
20151116,84
20151117,88
20151118,72
20151119,78
20151120,75
20151121,89
20151122,86
20151123,83
20151124,90
20151125,93
20151126,90
20151127,93
20151128,81
20151129,84
20151130,80
20151201,90
20151202,75
20151203,78
20151204,82
20151205,76
20151206,84
20151207,92
20151208,88
20151209,82
20151210,84
20151211,90
20151212,85
20151213,92
20151214,92
20151215,91
20151216,95
20151217,85
20151218,86
20151219,91
20151220,82
20151221,85
20151222,84
20151223,79
20151224,83
20151225,85
20151226,79
20151227,81
20151228,81
20151229,85
20151230,87
20151231,80
