STN,YYYYMMDD,   FG,  FHX,  FHN,  FXX
  260,20010101,   58,   80,   40,  150
  260,20010102,   60,   70,   40,  150
  260,20010103,   53,   70,   40,  130
  260,20010104,   62,   80,   50,  140
  260,20010105,   59,  100,   20,  200
  260,20010106,   40,   60,   20,  100
  260,20010107,   44,   50,   30,  110
  260,20010108,   38,   50,   30,  100
  260,20010109,   25,   30,   10,   70
  260,20010110,   38,   60,   20,   90
  260,20010111,   49,   70,   30,  120
  260,20010112,   24,   30,   10,   70
  260,20010113,   35,   50,   20,   90
  260,20010114,   36,   60,   20,  110
  260,20010115,   41,   50,   20,   90
  260,20010116,   25,   30,   10,   50
  260,20010117,   13,   20,   10,   30
  260,20010118,   10,   10,    0,   30
  260,20010119,   13,   20,    0,   40
  260,20010120,   24,   40,   10,   60
  260,20010121,   43,   70,   20,  120
  260,20010122,   37,   50,   20,   90
  260,20010123,   53,   80,   30,  130
  260,20010124,   63,  100,   30,  180
  260,20010125,   42,   60,   30,   90
  260,20010126,   44,   60,   40,  120
  260,20010127,   42,   60,   20,  120
  260,20010128,   26,   50,   10,   90
  260,20010129,   12,   20,    0,   40
  260,20010130,   16,   20,   10,   30
  260,20010131,   20,   30,   10,   50
  260,20010201,   20,   30,   10,   50
  260,20010202,   30,   40,   20,   80
  260,20010203,   28,   40,   10,   80
  260,20010204,   32,   70,   10,  120
  260,20010205,   65,   80,   50,  160
  260,20010206,   64,   80,   40,  190
  260,20010207,   48,   70,   30,  130
  260,20010208,   56,   80,   10,  160
  260,20010209,   23,   40,   10,   70
  260,20010210,   37,   70,   10,  120
  260,20010211,   61,   70,   50,  130
  260,20010212,   52,   60,   20,  130
  260,20010213,   38,   60,   10,  120
  260,20010214,   20,   30,    0,   50
  260,20010215,   14,   20,   10,   40
  260,20010216,   24,   40,   10,   70
  260,20010217,   35,   50,   10,  110
  260,20010218,   21,   50,   10,  100
  260,20010219,   35,   50,   20,  100
  260,20010220,   34,   50,   20,   90
  260,20010221,   33,   50,   20,  100
  260,20010222,   42,   70,   10,  160
  260,20010223,   26,   40,    0,  110
  260,20010224,   35,   60,    0,  100
  260,20010225,   38,   60,   20,  110
  260,20010226,   38,   60,   20,   90
  260,20010227,   49,   70,   30,  110
  260,20010228,   21,   30,   10,   60
  260,20010301,   18,   30,   10,   50
  260,20010302,   29,   60,   10,  100
  260,20010303,   35,   60,   30,  100
  260,20010304,   33,   40,   20,   60
  260,20010305,   25,   40,   10,   60
  260,20010306,   46,   70,   30,  120
  260,20010307,   38,   60,   10,  110
  260,20010308,   39,   70,   20,  140
  260,20010309,   48,   60,   30,  110
  260,20010310,   43,   60,   30,  130
  260,20010311,   47,   80,   30,  170
  260,20010312,   51,   70,   20,  170
  260,20010313,   54,   80,   30,  140
  260,20010314,   41,   60,   10,  120
  260,20010315,   15,   30,    0,   60
  260,20010316,   33,   60,    0,  100
  260,20010317,   44,   70,   20,  120
  260,20010318,   25,   40,   10,   80
  260,20010319,   44,   80,   10,  140
  260,20010320,   33,   60,   10,  100
  260,20010321,   48,   70,   10,  120
  260,20010322,   22,   40,   10,   60
  260,20010323,   38,   60,   10,  110
  260,20010324,   36,   60,   10,  110
  260,20010325,   55,   70,   30,  120
  260,20010326,   36,   50,   20,   70
  260,20010327,   56,   80,   40,  130
  260,20010328,   58,   70,   40,  170
  260,20010329,   23,   40,   10,   90
  260,20010330,   26,   50,   10,  100
  260,20010331,   48,   70,   20,  130
  260,20010401,   32,   50,   10,   90
  260,20010402,   35,   60,   20,  110
  260,20010403,   49,   70,   20,  150
  260,20010404,   65,   90,   40,  180
  260,20010405,   62,   90,   30,  160
  260,20010406,   58,   80,   40,  150
  260,20010407,   44,   70,   20,  140
  260,20010408,   29,   50,   10,   90
  260,20010409,   33,   50,   20,   90
  260,20010410,   38,   50,   20,   90
  260,20010411,   46,   70,   10,  120
  260,20010412,   37,   60,   10,  130
  260,20010413,   41,   60,   20,  120
  260,20010414,   34,   60,   10,  100
  260,20010415,   45,   60,   30,  120
  260,20010416,   38,   50,   20,  130
  260,20010417,   39,   60,   20,  100
  260,20010418,   49,   70,   20,  180
  260,20010419,   38,   60,   20,  140
  260,20010420,   21,   50,   10,   80
  260,20010421,   35,   50,   20,   90
  260,20010422,   17,   30,   10,   70
  260,20010423,   18,   30,   10,   50
  260,20010424,   39,   70,   10,  140
  260,20010425,   35,   50,   20,  110
  260,20010426,   56,   70,   40,  130
  260,20010427,   32,   50,   20,   80
  260,20010428,   47,   80,   20,  150
  260,20010429,   37,   60,   20,  110
  260,20010430,   29,   50,   10,   90
  260,20010501,   58,   90,   40,  140
  260,20010502,   48,   60,   20,  110
  260,20010503,   28,   50,   10,   90
  260,20010504,   40,   60,   20,  100
  260,20010505,   56,   80,   30,  140
  260,20010506,   52,   70,   30,  120
  260,20010507,   51,   70,   30,  120
  260,20010508,   36,   50,   30,   80
  260,20010509,   41,   60,   20,  110
  260,20010510,   45,   60,   30,  110
  260,20010511,   32,   50,   10,  100
  260,20010512,   32,   50,   20,  100
  260,20010513,   25,   40,   10,   80
  260,20010514,   24,   50,   10,   90
  260,20010515,   30,   50,   10,   90
  260,20010516,   47,   70,   20,  160
  260,20010517,   66,  110,   20,  200
  260,20010518,   40,   70,   20,  130
  260,20010519,   31,   50,   10,  100
  260,20010520,   22,   40,    0,   80
  260,20010521,   42,   60,   10,  120
  260,20010522,   40,   50,   20,   90
  260,20010523,   35,   50,   20,  100
  260,20010524,   38,   60,   20,  110
  260,20010525,   28,   40,   20,   80
  260,20010526,   23,   40,   10,   70
  260,20010527,   40,   60,   10,  110
  260,20010528,   45,   50,   40,  120
  260,20010529,   42,   60,   10,  130
  260,20010530,   14,   20,   10,   80
  260,20010531,   38,   60,   10,  120
  260,20010601,   33,   50,   20,  100
  260,20010602,   46,   70,   30,  140
  260,20010603,   48,   70,   20,  160
  260,20010604,   30,   50,   10,   90
